Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,01/03/2018 03:01:04,29184216,11,13,324,3886,196,0,29.45454545,66.89598439,1460,0,298.9230769,532.1955251,144.2560595,0.822362334,1268878.957,3275600.161,10200000,0,29200000,2918421.6,4575423.223,10200000,229,29200000,2431041.25,4324664.374,10200000,0,0,0,0,0,232,296,0.37691607,0.445446265,0,1460,168.4,403.4089117,162738.75,0,0,1,1,0,0,0,1,1,175.4166667,29.45454545,298.9230769,0,0,0,0,0,0,11,324,13,3886,8192,151,4,20,216166,354336.0265,625318,11571,9511811.667,889586.3118,10200000,8500221,Exfil
54010,6,01/03/2018 02:36:30,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,184,254,0,20,0,0,0,0,0,0,0,0,Exfil
80,6,21/02/2018 02:33:01,1226,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1631.32137,1226.0,0.0,1226,1226,1226,1226.0,0.0,1226,1226,0,0.0,0.0,0,0,0,0,0,0,40,0,1631.32137,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
3551,6,01/03/2018 10:49:48,216,1,1,0,0,0,0,0,0,0,0,0,0,0,9259.259259,216,0,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4629.62963,4629.62963,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Exfil
53,17,14/02/2018 09:47:39,51343,1,1,41,100,41,41,41.0,0.0,100,100,100.0,0.0,2746.2360983971,38.9537035234,51343.0,0.0,51343,51343,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,19.4768517617,19.4768517617,41,100,60.6666666667,34.0636658822,1160.3333333333,0,0,0,0,0,0,0,0,1,91.0,41.0,100.0,0,0,0,0,0,0,1,41,1,100,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,21/02/2018 02:17:49,1687,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1185.536455,1687.0,0.0,1687,1687,1687,1687.0,0.0,1687,1687,0,0.0,0.0,0,0,0,0,0,0,40,0,1185.536455,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22,6,14/02/2018 02:07:50,6,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,333333.333333333,6.0,0.0,6,6,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,166666.666666667,166666.666666667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
80,6,21/02/2018 02:13:48,13509,3,4,336,935,336,0,112.0,193.9896904,935,0,233.75,467.5,94085.42453,518.1730698,2251.5,4918.879374,12267,5,12580,6290.0,8452.754462,12267,313,13502,4500.666667,7009.189278,12578,19,0,0,0,0,72,92,222.0741728,296.098897,0,935,158.875,334.918087,112170.125,0,0,1,1,0,0,0,1,1,181.5714286,112.0,233.75,0,0,0,0,0,0,3,336,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,6,21/02/2018 02:23:06,617,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3241.491086,617.0,0.0,617,617,617,617.0,0.0,617,617,0,0.0,0.0,0,0,0,0,0,0,40,0,3241.491086,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22,6,14/02/2018 02:29:43,376283,24,20,1912,2665,640,0,79.6666666667,133.8339875812,976,0,133.25,268.7712537496,12163.7172022122,116.9332656538,8750.7674418605,22655.7634019598,131748,5,376212,16357.0434782609,30344.8588044443,131748,309,376274,19803.8947368421,41529.5892264977,168624,8,0,0,0,0,776,648,63.7817812657,53.1514843881,0,976,101.7111111111,203.7371995112,41508.8464646465,0,0,0,1,0,0,0,0,0,104.0227272727,79.6666666667,133.25,0,0,0,0,0,0,24,1912,20,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
443,6,01/03/2018 03:48:30,538211,9,7,519,3234,201,0,57.66666667,84.93968448,1430,0,462,668.5244947,6973.101627,29.72811778,35880.73333,56066.55909,181981,4,538211,67276.375,62466.17242,181981,16,258821,43136.83333,66568.62471,135928,15,0,0,0,0,192,152,16.72206625,13.00605153,0,1430,220.7647059,463.3286535,214673.4412,0,0,1,1,0,0,0,1,0,234.5625,57.66666667,462,0,0,0,0,0,0,9,519,7,3234,8192,172,4,20,0,0,0,0,0,0,0,0,Benign
10621,6,01/03/2018 10:24:45,269,1,1,0,0,0,0,0,0,0,0,0,0,0,7434.944238,269,0,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,3717.472119,3717.472119,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Exfil
80,6,21/02/2018 02:31:16,2477,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,807.4283407,2477.0,0.0,2477,2477,2477,2477.0,0.0,2477,2477,0,0.0,0.0,0,0,0,0,0,0,40,0,807.4283407,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22,6,14/02/2018 02:28:42,7,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,285714.285714286,7.0,0.0,7,7,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,142857.142857143,142857.142857143,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,241,230,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
22,6,14/02/2018 03:02:43,379004,26,22,1960,2665,640,0,75.3846153846,130.6167146802,976,0,121.1363636364,258.6415602914,12203.0374349611,126.6477398655,8063.914893617,14365.9247963182,41712,5,378951,15158.04,17367.1272439246,44994,75,378996,18047.4285714286,32024.2661548574,119629,8,0,0,0,0,840,712,68.6008590938,58.0468807717,0,976,94.387755102,197.1337126934,38861.7006802721,0,0,0,1,0,0,0,0,0,96.3541666667,75.3846153846,121.1363636364,0,0,0,0,0,0,26,1960,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
80,6,21/02/2018 02:28:09,15092,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,132.5205407,15092.0,0.0,15092,15092,15092,15092.0,0.0,15092,15092,0,0.0,0.0,0,0,0,0,0,0,40,0,132.5205407,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22,6,14/02/2018 03:24:20,357003,23,22,1912,2665,640,0,83.1304347826,135.7374820439,976,0,121.1363636364,258.6415602914,12820.6205550093,126.0493609297,8113.7045454545,13609.6903721927,43698,5,356954,16225.1818181818,16906.4154169677,47697,204,356997,16999.8571428571,21633.8857242191,66694,7,0,0,0,0,744,712,64.4252289196,61.6241320101,0,976,99.5,202.0181234994,40811.3222222222,0,0,0,1,0,0,0,0,0,101.7111111111,83.1304347826,121.1363636364,0,0,0,0,0,0,23,1912,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
80,6,21/02/2018 02:30:03,12800,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,156.25,12800.0,0.0,12800,12800,12800,12800.0,0.0,12800,12800,0,0.0,0.0,0,0,0,0,0,0,40,0,156.25,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
53,17,14/02/2018 11:25:33,54709,2,2,70,174,35,35,35.0,0.0,87,87,87.0,0.0,4459.9608839496,73.1141128516,18236.3333333333,30081.0680051978,52970,646,54063,54063.0,0.0,54063,54063,53616,53616.0,0.0,53616,53616,0,0,0,0,16,16,36.5570564258,36.5570564258,35,87,55.8,28.4815729903,811.2,0,0,0,0,0,0,0,0,1,69.75,35.0,87.0,0,0,0,0,0,0,2,70,2,174,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
56220,6,21/02/2018 02:26:35,1144,5,2,935,340,935,0,187.0,418.1447118,340,0,170.0,240.4163056,1114510.49,6118.881119,190.6666667,241.1726905,621,7,1144,286.0,430.4842235,919,8,621,621.0,0.0,621,621,0,0,0,0,124,40,4370.629371,1748.251748,0,935,159.375,335.22314,112374.5536,0,0,1,1,0,0,0,1,0,182.1428571,187.0,170.0,0,0,0,0,0,0,5,935,2,340,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
25735,6,01/03/2018 10:47:38,243,1,1,0,0,0,0,0,0,0,0,0,0,0,8230.452675,243,0,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,4115.226337,4115.226337,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1024,0,0,24,0,0,0,0,0,0,0,0,Exfil
53,17,14/02/2018 10:39:42,1692,1,1,32,92,32,32,32.0,0.0,92,92,92.0,0.0,73286.0520094563,1182.0330969267,1692.0,0.0,1692,1692,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,591.0165484634,591.0165484634,32,92,52.0,34.6410161514,1200.0,0,0,0,0,0,0,0,0,1,78.0,32.0,92.0,0,0,0,0,0,0,1,32,1,92,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,Benign
139,6,01/03/2018 10:27:40,2486,2,0,0,0,0,0,0,0,0,0,0,0,0,804.5052293,2486,0,2486,2486,2486,2486,0,2486,2486,0,0,0,0,0,0,0,0,0,40,0,804.5052293,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2240,-1,0,20,0,0,0,0,0,0,0,0,Exfil
443,6,01/03/2018 09:57:43,1054834,3,3,0,0,0,0,0,0,0,0,0,0,0,5.688098791,210966.8,265316.6128,501836,17057,1037429,518714.5,396.6869042,518995,518434,1037777,518888.5,498.5102807,519241,518536,0,0,0,0,92,60,2.844049395,2.844049395,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,8192,0,0,28,0,0,0,0,0,0,0,0,Exfil
80,6,21/02/2018 02:27:07,2534,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,789.2659826,2534.0,0.0,2534,2534,2534,2534.0,0.0,2534,2534,0,0.0,0.0,0,0,0,0,0,0,40,0,789.2659826,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
22,6,14/02/2018 02:17:46,383080,24,20,1912,2665,640,0,79.6666666667,133.8339875812,976,0,133.25,268.7712537496,11947.8960008353,114.8585151926,8908.8372093023,18243.5710984788,64266,5,383026,16653.3043478261,22890.0191954222,64266,352,383057,20160.8947368421,34305.9037143022,130188,14,0,0,0,0,776,648,62.650099196,52.2084159967,0,976,101.7111111111,203.7371995112,41508.8464646465,0,0,0,1,0,0,0,0,0,104.0227272727,79.6666666667,133.25,0,0,0,0,0,0,24,1912,20,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
53,17,01/03/2018 10:05:11,368,1,1,78,158,78,78,78,0,158,158,158,0,641304.3478,5434.782609,368,0,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2717.391304,2717.391304,78,158,104.6666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,1,157,78,158,0,0,0,0,0,0,1,78,1,158,-1,-1,0,8,0,0,0,0,0,0,0,0,Exfil
80,6,21/02/2018 02:21:28,4799,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,416.7534903,4799.0,0.0,4799,4799,4799,4799.0,0.0,4799,4799,0,0.0,0.0,0,0,0,0,0,0,40,0,416.7534903,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
52042,6,14/02/2018 02:59:42,30,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,66666.6666666667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,33333.3333333333,33333.3333333333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,513,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
22,6,14/02/2018 03:03:26,359263,22,22,1912,2665,640,0,86.9090909091,137.6880217811,976,0,121.1363636364,258.6415602914,12739.9704394831,122.4729515703,8354.9534883721,16929.815945549,75067,3,358509,17071.8571428571,23833.8885775815,75067,260,359260,17107.6190476191,30810.9580692912,112410,10,0,0,0,0,712,712,61.2364757851,61.2364757851,0,976,101.7111111111,203.7371995112,41508.8464646465,0,0,0,1,0,0,0,0,1,104.0227272727,86.9090909091,121.1363636364,0,0,0,0,0,0,22,1912,22,2665,26883,230,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Tunnel
